work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2023,Senior,Full-time,Applied Scientist,260000,USD,260000,United States,In-person,United States,L,Data Science and Research
2023,Senior,Full-time,Data Engineer,170000,USD,170000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Machine Learning Engineer,170000,USD,170000,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,130000,USD,130000,United States,Remote,United States,M,Data Engineering
2024,Entry-level,Full-time,Business Intelligence Analyst,72000,USD,72000,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,Data Operations Specialist,88000,USD,88000,United States,In-person,United States,M,Data Quality and Operations
2022,Senior,Full-time,Data Scientist,81500,USD,81500,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,167500,USD,167500,United States,In-person,United States,M,Data Engineering
2023,Executive,Full-time,Head of Data,150000,GBP,184560,United Kingdom,In-person,United Kingdom,M,Leadership and Management
2023,Senior,Full-time,Data Engineer,94000,USD,94000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Business Intelligence Manager,117500,USD,117500,United States,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Machine Learning Engineer,144400,USD,144400,Canada,In-person,Canada,M,Machine Learning and AI
2023,Senior,Full-time,Applied Scientist,184000,USD,184000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,120350,USD,120350,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,110600,USD,110600,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,80000,GBP,100000,United Kingdom,In-person,United Kingdom,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,161500,USD,161500,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Director of Data Science,170000,CAD,125948,Canada,Hybrid,Canada,M,Data Science and Research
2024,Senior,Full-time,Data Scientist,93300,USD,93300,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,170730,USD,170730,United States,In-person,United States,M,Data Science and Research
2022,Senior,Full-time,Business Data Analyst,100000,USD,100000,United States,Remote,United States,L,Data Analysis
2023,Executive,Full-time,Machine Learning Engineer,145000,USD,145000,United States,Remote,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Science Manager,70000,USD,70000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Analyst,153000,USD,153000,United States,In-person,United States,M,Data Analysis
2023,Entry-level,Full-time,Data Analyst,30000,USD,30000,Argentina,Remote,United States,S,Data Analysis
2023,Mid-level,Full-time,Research Analyst,71000,USD,71000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,160000,USD,160000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Manager,71500,USD,71500,United States,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Machine Learning Engineer,168700,USD,168700,Canada,In-person,Canada,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,173800,USD,173800,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,72000,EUR,77737,Spain,Remote,Spain,M,Data Engineering
2023,Senior,Full-time,Data Engineer,185000,USD,185000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Business Intelligence Engineer,130000,USD,130000,United States,Remote,United States,M,BI and Visualization
2021,Mid-level,Full-time,Data Science Engineer,34000,EUR,40189,Greece,Remote,Greece,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,120000,USD,120000,United Kingdom,In-person,United Kingdom,M,Data Analysis
2023,Senior,Full-time,Data Analyst,45000,GBP,55368,Central African Republic,Remote,Central African Republic,M,Data Analysis
2023,Executive,Full-time,Head of Data Science,314100,USD,314100,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Machine Learning Engineer,142200,USD,142200,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,225300,USD,225300,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,200000,USD,200000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Research Scientist,200000,USD,200000,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Scientist,230000,USD,230000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Engineer,145000,USD,145000,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,184000,USD,184000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Analytics Engineer,214200,USD,214200,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Machine Learning Engineer,140250,USD,140250,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,145000,USD,145000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Science Manager,299500,USD,299500,United States,In-person,United States,M,Data Science and Research
2021,Executive,Full-time,Director of Data Science,250000,USD,250000,United States,In-person,United States,L,Data Science and Research
2022,Senior,Full-time,Data Engineer,160000,USD,160000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Research Engineer,168000,USD,168000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Modeler,130000,USD,130000,United States,Remote,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Analyst,84870,USD,84870,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Scientist,156400,USD,156400,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,243500,USD,243500,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,168400,USD,168400,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,78000,USD,78000,United States,In-person,United States,M,Data Engineering
2022,Senior,Full-time,Data Scientist,230000,USD,230000,United States,Remote,United States,M,Data Science and Research
2022,Senior,Full-time,Analytics Engineer,84000,GBP,103432,United Kingdom,In-person,United Kingdom,M,Leadership and Management
2022,Senior,Full-time,Machine Learning Scientist,193900,USD,193900,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Scientist,157250,USD,157250,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Decision Scientist,204500,USD,204500,United States,In-person,United States,M,Data Science and Research
2022,Executive,Full-time,Head of Data,160000,USD,160000,United States,In-person,United States,M,Leadership and Management
2022,Senior,Full-time,Data Scientist,185900,USD,185900,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,113750,USD,113750,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Science,162000,USD,162000,United States,In-person,United States,M,Data Science and Research
2022,Senior,Full-time,Data Analyst,115934,USD,115934,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,120000,USD,120000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Scientist,207500,USD,207500,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,50000,GBP,61520,United Kingdom,In-person,United Kingdom,M,Data Engineering
2022,Senior,Full-time,Applied Scientist,212800,USD,212800,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Applied Scientist,248100,USD,248100,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,300000,USD,300000,United States,In-person,United States,M,Machine Learning and AI
2022,Senior,Full-time,Data Engineer,171000,USD,171000,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,BI Analyst,140000,USD,140000,United States,In-person,United States,M,BI and Visualization
2022,Senior,Full-time,Data Scientist,70000,USD,70000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Specialist,105000,USD,105000,Australia,In-person,Australia,M,Data Management and Strategy
2024,Senior,Full-time,Data Analytics Lead,239300,USD,239300,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Science Consultant,125000,USD,125000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,158100,USD,158100,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Engineer,185000,USD,185000,United States,In-person,United States,L,Data Engineering
2024,Mid-level,Full-time,Research Scientist,179000,USD,179000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Analyst,85000,USD,85000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Scientist,255000,USD,255000,United States,In-person,United States,M,Data Science and Research
2023,Entry-level,Full-time,Research Engineer,350000,USD,350000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,48000,USD,48000,Argentina,Remote,Argentina,M,Data Engineering
2022,Senior,Full-time,Analytics Engineer,140250,USD,140250,United States,Remote,United States,M,Leadership and Management
2023,Mid-level,Full-time,Data Scientist,110000,USD,110000,United States,Remote,United States,M,Data Science and Research
2024,Executive,Full-time,Head of Data,207000,USD,207000,United States,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Data Analyst,75000,USD,75000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,296400,USD,296400,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,252000,USD,252000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Analyst,85500,USD,85500,United States,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Business Intelligence Analyst,120000,USD,120000,United States,Remote,United States,M,BI and Visualization
2023,Mid-level,Full-time,BI Analyst,172300,USD,172300,United States,In-person,United States,M,BI and Visualization
2022,Senior,Full-time,Data Scientist,153000,USD,153000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,170600,USD,170600,United States,In-person,United States,M,Machine Learning and AI
2024,Mid-level,Full-time,Machine Learning Engineer,223100,USD,223100,United States,Remote,United States,M,Machine Learning and AI
2022,Mid-level,Full-time,Data Engineer,45000,GBP,55410,United Kingdom,Remote,United Kingdom,M,Data Engineering
2024,Senior,Full-time,Business Intelligence Engineer,185000,USD,185000,United States,In-person,United States,L,BI and Visualization
2023,Senior,Full-time,Data Engineer,92000,USD,92000,United States,In-person,United States,M,Data Engineering
2024,Executive,Full-time,Data Science,175762,USD,175762,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Scientist,141300,USD,141300,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Business Intelligence Engineer,206000,USD,206000,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,Data Scientist,72360,USD,72360,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,160000,USD,160000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,180000,USD,180000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Applied Scientist,136000,USD,136000,United States,In-person,United States,L,Data Science and Research
2023,Mid-level,Full-time,Research Scientist,210000,USD,210000,United States,In-person,United States,M,Data Science and Research
2023,Executive,Full-time,Data Manager,140000,USD,140000,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Scientist,252000,USD,252000,United States,In-person,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Analyst,100000,USD,100000,United States,In-person,United States,M,Data Analysis
2022,Senior,Full-time,Data Engineer,70000,USD,70000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,115000,USD,115000,United States,Remote,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Scientist,172200,USD,172200,United States,Remote,United States,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,110000,USD,110000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,126000,USD,126000,United States,In-person,United States,M,Machine Learning and AI
2022,Senior,Full-time,Data Engineer,184100,USD,184100,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Business Intelligence Engineer,104300,USD,104300,United States,In-person,United States,L,BI and Visualization
2024,Mid-level,Full-time,Data Scientist,170400,USD,170400,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,165000,USD,165000,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Data Analyst,61700,USD,61700,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,94000,USD,94000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Scientist,240000,USD,240000,United States,In-person,United States,M,Data Science and Research
2023,Entry-level,Full-time,Data Scientist,190000,USD,190000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,248100,USD,248100,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,230000,USD,230000,United States,Remote,United States,M,Machine Learning and AI
2022,Mid-level,Full-time,Data Engineer,90000,USD,90000,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,139500,USD,139500,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Science Consultant,128100,USD,128100,United States,In-person,United States,M,Data Science and Research
2024,Entry-level,Full-time,Machine Learning Engineer,91000,USD,91000,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,115000,USD,115000,United States,Remote,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Analyst,174000,USD,174000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,142200,USD,142200,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,76050,USD,76050,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,172200,USD,172200,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Analyst,138000,USD,138000,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Scientist,65000,GBP,79976,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2023,Senior,Full-time,Decision Scientist,129300,USD,129300,United States,In-person,United States,M,Data Science and Research
2023,Executive,Full-time,Director of Data Science,353200,USD,353200,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,180000,USD,180000,United States,Remote,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Quality Manager,40000,GBP,49216,United Kingdom,In-person,United Kingdom,M,Data Quality and Operations
2023,Mid-level,Full-time,Research Scientist,200000,USD,200000,United States,In-person,United States,M,Data Science and Research
2022,Senior,Full-time,Applied Scientist,192000,USD,192000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,116000,USD,116000,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,169000,USD,169000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Research Engineer,100000,USD,100000,United States,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Scientist,138900,USD,138900,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,105500,USD,105500,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Business Intelligence Analyst,200000,USD,200000,United States,Remote,United States,M,BI and Visualization
2023,Mid-level,Full-time,Data Scientist,100000,USD,100000,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,153600,USD,153600,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,129300,USD,129300,United States,In-person,United States,M,Data Engineering
2024,Executive,Full-time,Head of Data,250000,USD,250000,United States,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Analytics Engineer,140000,USD,140000,Canada,Remote,Canada,M,Leadership and Management
2024,Senior,Full-time,Data Analyst,140000,USD,140000,United States,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Machine Learning Engineer,172200,USD,172200,United States,In-person,United States,M,Machine Learning and AI
2023,Executive,Full-time,Data Analytics Manager,155000,USD,155000,United States,In-person,United States,M,Leadership and Management
2024,Senior,Full-time,Data Engineer,185000,USD,185000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Science Consultant,70000,USD,70000,United States,Remote,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,74500,USD,74500,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Science Consultant,109000,USD,109000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Machine Learning Engineer,220000,USD,220000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Engineer,277000,USD,277000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Architect,175564,USD,175564,United States,Remote,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Scientist,129300,USD,129300,United States,In-person,United States,M,Data Science and Research
2023,Executive,Full-time,Machine Learning Engineer,165200,USD,165200,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,168000,USD,168000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,150000,USD,150000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,144000,USD,144000,United States,Remote,United States,M,Data Engineering
2023,Mid-level,Full-time,Research Engineer,85445,USD,85445,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,176000,USD,176000,United States,In-person,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Manager,93000,USD,93000,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Machine Learning Engineer,240000,USD,240000,United States,In-person,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Engineer,180000,USD,180000,United States,Remote,United States,M,Data Engineering
2024,Executive,Full-time,Data Analyst,125000,USD,125000,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Data Engineer,130000,USD,130000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Research Scientist,323300,USD,323300,United States,In-person,United States,M,Data Science and Research
2022,Mid-level,Full-time,Data Engineer,120000,USD,120000,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Engineer,73000,USD,73000,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Manager,73500,USD,73500,United States,In-person,United States,M,Leadership and Management
2022,Senior,Full-time,ML Engineer,185000,USD,185000,United States,Remote,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Analyst,110000,USD,110000,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,65488,USD,65488,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Insight Analyst,42000,GBP,51676,United Kingdom,In-person,United Kingdom,M,Data Analysis
2023,Senior,Full-time,Data Engineer,192000,USD,192000,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Scientist,140000,USD,140000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,198000,USD,198000,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Research Scientist,247600,USD,247600,United States,In-person,United States,L,Data Science and Research
2023,Senior,Full-time,Data Analyst,85500,USD,85500,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Research Scientist,146000,USD,146000,United States,In-person,United States,M,Data Science and Research
2022,Entry-level,Full-time,Machine Learning Developer,180000,USD,180000,United States,Remote,United States,L,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,170000,USD,170000,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Business Intelligence Engineer,180000,USD,180000,United States,In-person,United States,M,BI and Visualization
2024,Senior,Full-time,Data Engineer,188000,USD,188000,United States,Remote,United States,M,Data Engineering
2024,Senior,Full-time,Data Analyst,165000,USD,165000,Australia,In-person,Australia,M,Data Analysis
2024,Senior,Full-time,Research Engineer,234000,USD,234000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Research Engineer,240960,USD,240960,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analytics Manager,254500,USD,254500,United States,Remote,United States,L,Leadership and Management
2023,Senior,Full-time,ML Engineer,178000,USD,178000,United States,Remote,United States,M,Machine Learning and AI
2024,Senior,Full-time,Data Engineer,116000,USD,116000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,198000,USD,198000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,170000,USD,170000,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,139000,USD,139000,United States,Remote,United States,M,Data Science and Research
2022,Senior,Full-time,Data Analyst,69000,USD,69000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,120000,USD,120000,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,ML Engineer,365630,USD,365630,United States,In-person,United States,M,Machine Learning and AI
2023,Entry-level,Full-time,Data Analyst,57920,USD,57920,United States,Remote,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,55000,EUR,59382,Germany,Hybrid,Germany,L,Data Analysis
2023,Entry-level,Full-time,Data Engineer,160000,USD,160000,United States,In-person,United States,M,Data Engineering
2023,Executive,Full-time,Data Engineer,350000,USD,350000,United States,Remote,United States,M,Data Engineering
2024,Executive,Full-time,Data Engineer,219650,USD,219650,United States,Remote,United States,M,Data Engineering
2023,Executive,Full-time,Data Engineer,265800,USD,265800,United States,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Applied Scientist,164000,USD,164000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Data Architect,299792,USD,299792,United States,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Analyst,110000,USD,110000,United States,In-person,United States,M,Data Analysis
2022,Senior,Full-time,Head of Data,200000,USD,200000,Malaysia,Remote,United States,M,Leadership and Management
2023,Mid-level,Full-time,Business Intelligence Analyst,106700,USD,106700,United States,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Business Intelligence Engineer,202800,USD,202800,United States,In-person,United States,L,BI and Visualization
2023,Senior,Full-time,Research Scientist,130000,USD,130000,United States,Remote,United States,M,Data Science and Research
2024,Senior,Full-time,Analytics Engineer,189000,USD,189000,United States,Remote,United States,M,Leadership and Management
2023,Mid-level,Full-time,Machine Learning Engineer,165000,USD,165000,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,140000,GBP,172256,United Kingdom,Remote,United Kingdom,M,Data Science and Research
2024,Mid-level,Full-time,Data Scientist,37440,EUR,41600,Latvia,In-person,Latvia,M,Data Science and Research
2022,Mid-level,Full-time,Data Scientist,100000,USD,100000,United States,In-person,United States,M,Data Science and Research
2024,Senior,Full-time,Data Manager,131200,USD,131200,United States,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Research Engineer,275000,USD,275000,Germany,In-person,Germany,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,240000,USD,240000,United States,Remote,United States,M,Machine Learning and AI
2022,Senior,Full-time,Data Analyst,100000,USD,100000,United States,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,79000,USD,79000,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Infrastructure Engineer,185000,USD,185000,United States,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,108308,USD,108308,United Kingdom,Remote,United Kingdom,M,Data Engineering
2024,Entry-level,Full-time,Data Engineer,158100,USD,158100,United States,In-person,United States,M,Data Engineering
2024,Mid-level,Full-time,Data Scientist,74270,USD,74270,Canada,In-person,Canada,M,Data Science and Research
2024,Mid-level,Full-time,Data Specialist,80000,USD,80000,United States,In-person,United States,M,Data Management and Strategy
2023,Mid-level,Full-time,Data Quality Analyst,95000,USD,95000,United States,In-person,United States,M,Data Quality and Operations
2023,Senior,Full-time,Data Engineer,100000,USD,100000,United States,In-person,United States,M,Data Engineering
2023,Entry-level,Full-time,Data Engineer,52500,USD,52500,United States,In-person,United States,M,Data Engineering
2022,Senior,Full-time,Data Engineer,145000,USD,145000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Analyst,153300,USD,153300,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,100000,USD,100000,United Kingdom,Remote,United Kingdom,M,Data Analysis
2023,Senior,Full-time,AI Engineer,93300,USD,93300,United States,In-person,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Applied Scientist,136000,USD,136000,United States,In-person,United States,L,Data Science and Research
2024,Mid-level,Full-time,Prompt Engineer,215000,USD,215000,Australia,Remote,Australia,M,Machine Learning and AI
2024,Mid-level,Full-time,Data Engineer,103000,USD,103000,United States,In-person,United States,M,Data Engineering
2024,Senior,Full-time,Data Engineer,117000,USD,117000,United States,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,212200,USD,212200,United States,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Decision Scientist,185900,USD,185900,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,115934,USD,115934,United States,Remote,United States,M,Data Analysis
2021,Mid-level,Full-time,Machine Learning Engineer,75000,EUR,88654,Belgium,Remote,Belgium,M,Machine Learning and AI
2023,Senior,Full-time,Data Analyst,140000,USD,140000,United States,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,126900,USD,126900,United States,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,70000,GBP,86128,United Kingdom,In-person,United Kingdom,M,Data Engineering
2024,Senior,Full-time,Data Scientist,195000,USD,195000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,136600,USD,136600,United States,Remote,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Manager,73500,USD,73500,United States,In-person,United States,M,Leadership and Management
2024,Mid-level,Full-time,Data Science,80000,USD,80000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,164000,USD,164000,United States,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,240000,USD,240000,Ukraine,Remote,Ukraine,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,195000,USD,195000,United States,Remote,United States,M,Data Science and Research
2022,Mid-level,Full-time,Data Analyst,150000,USD,150000,United States,In-person,United States,M,Data Analysis
2022,Senior,Full-time,Data Scientist,36000,EUR,37824,Spain,In-person,Spain,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,205000,USD,205000,United States,In-person,United States,M,Data Engineering
2022,Senior,Full-time,Data Engineer,229998,USD,229998,United States,In-person,United States,L,Data Engineering
2023,Mid-level,Full-time,Machine Learning Scientist,170000,USD,170000,United States,In-person,United States,M,Machine Learning and AI
2022,Entry-level,Full-time,ML Engineer,20000,EUR,21013,Portugal,Remote,Portugal,L,Machine Learning and AI
2023,Senior,Full-time,Data Architect,150000,USD,150000,United States,In-person,United States,M,Data Architecture and Modeling
2024,Senior,Full-time,Data Engineer,194992,USD,194992,United States,Remote,United States,M,Data Engineering
2024,Entry-level,Full-time,Data Analyst,106100,USD,106100,United States,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Analytics Engineer,117100,USD,117100,United States,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Business Intelligence Engineer,141000,USD,141000,United States,In-person,United States,M,BI and Visualization
2024,Mid-level,Full-time,Analytics Engineer,153000,USD,153000,United States,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Business Intelligence Engineer,84600,USD,84600,United States,Remote,United States,M,BI and Visualization
2024,Senior,Full-time,Data Scientist,170000,USD,170000,United States,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,United States,In-person,United States,M,Machine Learning and AI
2024,Entry-level,Full-time,Data Analyst,74300,USD,74300,United States,In-person,United States,M,Data Analysis
2024,Senior,Full-time,Research Analyst,200000,USD,200000,United States,In-person,United States,M,Data Science and Research
