job_title,company,job_location,job_level,job_type,job_skills
"Research Scientist, Machine Learning",Oxford Nanopore Technologies,"Oxford, England, United Kingdom",Mid senior,Onsite,"Machine learning, Python, Statistics, Algorithms, Data analysis, Bioinformatics, Protein engineering, Genomics, Nanopore sensing, Software engineering, Mathematics, Molecular/structural biology, Deep learning, Natural language processing, Time series modelling"
Senior Data Engineer (Python),Jobs for Humanity,"Dover, DE",Mid senior,Onsite,"Data Engineering, Java, Scala, Python, SQL, Open Source RDBMS, NoSQL databases, Cloudbased data warehousing services, Redshift, Snowflake, Machine learning, Distributed microservices, Full stack systems, Big data technologies, AWS, Microsoft Azure, Google Cloud, Distributed data/computing tools, MapReduce, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, MySQL, Realtime data, Streaming applications, NoSQL implementation, Mongo, Cassandra, Data warehousing, UNIX/Linux, Agile engineering practices, Agile teams, Unit tests, Performance tuning, Bachelor's Degree, 4+ years of experience in application development, 1+ years of experience in big data technologies, 5+ years of experience in application development including Python SQL Scala or Java, 2+ years of experience with a public cloud (AWS Microsoft Azure Google Cloud), 3+ years experience with Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi or MySQL), 2+ year experience working on realtime data and streaming applications, 2+ years of experience with NoSQL implementation (Mongo Cassandra), 2+ years of data warehousing experience (Redshift or Snowflake), 3+ years of experience with UNIX/Linux including basic commands and shell scripting, 2+ years of experience with Agile engineering practices"
Senior Data Engineer,ComResource,"Columbus, OH",Mid senior,Onsite,"Python, Airflow, AWS, PostgreSQL, Amazon RedShift, AWS DevOps, ETL, Data Engineering, Data Cleaning, Data Transformation"
Senior Data Engineer,ADLIB Recruitment | B Corp™,"Exeter, England, United Kingdom",Mid senior,Onsite,"Cloud Computing, Data Warehousing, Data Analytics, Machine Learning, Data Engineering, Python, SQL, Data Programming, Cloud Data Environment, Strategic Data Initiatives, IT Strategy, Data Manipulation"
Data Engineer,Opus Recruitment Solutions,"Newcastle-upon-Tyne, England, United Kingdom",Mid senior,Onsite,"Data Strategy, Data Engineering, Azure, Google BigQuery, Python, ETL, Data Integration, Data Architecture, Data Analysis, Data Quality, Data Infrastructure, Data Pipelines, Cloud Computing, Software Development, ProblemSolving, Analytical Thinking, Communication, Interpersonal Skills, Collaboration, Team Leadership, Technical Leadership, Mentoring, Coaching, Documentation"
Data Architect,Florida Polytechnic University,"Lakeland, FL",Mid senior,Onsite,"Data Architecture, Data Integration, Data Modeling, Data Warehousing, Data Analytics, Cloud Data Platforms, Data Visualization, Business Intelligence, SQL, Data Manipulation, Data Transformation, Data Engineering, Apache Kafka, Hive, Hadoop, Spark, NoSQL, Agile Development, DevOps, Communication, Collaboration, Analytical Skills, ProblemSolving, Attention to Detail, Business Analysis, Requirement Gathering, Cloud Computing, Data Governance, Data Catalog, Data Lineage, Data Quality, Data Security, Database Design, Data Migration, Data Extraction, Data Loading, Data Cleansing, Master's Degree, SQL Server, Azure SQL, PostgreSQL, Team Foundation Server (TFS), C#, REST APIs, XML, XSLT, Workday, Ellucian Banner, Salesforce, Blackbaud, Workday Studio, Ellucian Insights, Ellucian Ethos, Workday reporting, Microsoft Dynamics GP, Microsoft Dynamics CRM, Microsoft SharePoint, Microsoft Project, Microsoft Visio, Enterprise Resource Planning (ERP), Customer Relationship Management (CRM)"
Data Control Clerk II,University of Rochester,"Medicine, NE",Mid senior,Onsite,"Research Assessment, Participant recruitment, Participant retention, Data collection, Data entry, Data maintenance, Data cleaning, Data reporting, Data analysis, Database creation, Database editing, Database maintenance, Participant tracking, Incentive distribution, Presentation assistance, Poster creation, Manuscript preparation, Literature reviews, General office duties, Microsoft Word, Microsoft Excel, Microsoft Outlook, REDCap, Interpersonal skills, Communication skills, Problemsolving skills, Prioritization skills, Attention to detail, Initiative, Independence, Flexibility, Empathy, Ability to engage diverse populations, High school diploma or equivalent, 12 years of related experience, Reliable/efficient transportation"
MLHD - Staff Specialist - Cardiologist - Griffith Base Hospital (apply via eCredential),NSW Health,"Griffith, New South Wales, Australia",Mid senior,Onsite,"Cardiology, Clinical Experience, Multidisciplinary Teamwork, Information Technology, Communication Skills, Teaching and Education, Research, Quality Improvement, Oncall Roster, NSW Health CORE Values, MLHD Values and Goals, Position Description, National Police Check, Equal Opportunity Employer"
Master Data Senior Analyst,Dice,"Marietta, GA",Mid senior,Onsite,"Master Data Management, Data Quality, Data Analysis, Oracle Applications, Oracle SQL, Data Modeling, Data Warehousing, CloudBased Data Platforms, Data Privacy, Strong Analytical Skills, Data Governance, ETL, Business Analysis, Collaborative Environment, Oracle Cloud Apps, API Integration, Data Structures, Business Requirements, Data Mapping, Data Visualization, Strong Communication Skills, Oracle Data Structures"
SQL Database Administrator,Zolon Tech Inc.,"Washington, DC",Mid senior,Onsite,"SQL, SQL/PSM, MySQL, Oracle, Linux, Windows Server, Data Structures, Database Design, Database Queries, Database Migration, Database Upgrading, Server Installation, Server Upkeep, Database Management, IT Security, ProblemSolving, Critical Thinking, Communication, Multitasking, TS/SCI Clearance, Data Networks, IT Specialists"
"Job Opportunity - Data Architect - Miami, FL","Donato Technologies, Inc.","Miami, FL",Mid senior,Onsite,"Data Architecture, Snowflake, SOX Compliance, Presentation Skills, Communication Skills, Salesforce Certifications, Snowflake Architecture, Discovery, Reconnaissance, Executive Team Leadership"
Analytics Engineer/Data Scientist-ANA009802,Genpact,"New York, United States",Associate,Onsite,"Machine Learning, Artificial Intelligence, Data:, Data Analytics, Data Science, Data Extraction, Data Modeling, Data Engineering, Languages:, Python, R, PySpark, SQL, Frameworks:, TensorFlow, Tableau, PowerBI, Cloud:, AWS, Azure, GCP, Concepts:, Deep Neural Networks, Natural Language Processing, Entity Extraction, Requirements:, Master's in Engineering Computer Science Sciences Mathematics or related field, 2 years of experience in Machine Learning and Artificial Intelligence, 2 years of experience with AWS Azure and GCP, 2 years of experience in customizing pretrained ML models"
Sr. Data Reporting Engineer,eStaffing Inc.,"Orlando, FL",Mid senior,Onsite,"Tableau, Power BI, Data integration, ETL development, SQL development, MicroStrategy Cloud Environment, Jira, Agile Tools, Data engineering, Data reporting, Analytical mindset, Problemsolving skills, Communication skills, Collaboration skills, Windows"
AML/CFT Program Manager,Triumph,"Bettendorf, IA",Mid senior,Onsite,"BSA/AML, CFT, Bank Secrecy Act, AntiMoney Laundering, Countering the Financing of Terrorism, Financial Compliance, Regulatory Reporting, Risk Management, CAMS Certification, AML/BSA Training, Sanctions Screening, OFAC List, Leadership, Team Management, Communication, Analytical Skills, ProblemSolving, Attention to Detail, Data Analysis, Investigations"
Road Data Collection Surveyor,NTRO - National Transport Research Organisation,"Sydney, New South Wales, Australia",Mid senior,Onsite,"Mechanical or electronic trade experience, Microsoft Office products, Road network survey experience, FWD survey experience, Data processing, Data capture, Troubleshooting, Problem solving, Customer service, Working under instruction, Software, Hardware, iPAVe, iSSAVe, NSVs, FWDs, Pavement condition surveys, Road inventory, Automation"
Lab - Medical Laboratory Scientist/ MLS,Cross Country Allied,"Rochester, MN",Mid senior,Onsite,"Medical Technology, Bodily Fluids Analysis, Disease Detection, Abnormality Detection, Blood Sample Collection, Urine Sample Collection, Sample Analysis, Equipment Maintenance, Patient Data Handling, Sterile Conditions Maintenance, Disease Prevention, ASCP Certification, AMT Certification, HEW Certification, AAB Certification, BLS Certification (AHA), Current State License"
Program Analyst (Data Management) with Security Clearance,ClearanceJobs,"Ogden, UT",Mid senior,Onsite,"Data Management, Program Analysis, Data Extraction, Product Lifecycle Management, CM/DM, CDRL Oversight, Contract Execution Management, Contractor Incentives Management, Affordability Analysis, Life Cycle Cost Reduction, IPMDAR & Control Account Reviews, PMRs, Government Furnished Property Coordination, RFI and CRM Resolution, Active SECRET Clearance, Team Center, Network Classifications, Planning, Resource Management, Stakeholder Management, Analytical Skills, Organizational Skills, Executive Leadership"
"Machine Learning Engineer Onsite ( Phoenix, AZ )","Conch Technologies, Inc","Phoenix, AZ",Mid senior,Onsite,"Machine Learning, Generative AI, Infor Retrieval Implementation, Vectorization Pipeline Productionizing, Natural Language Processing (NLP), Natural Language Chain Integration"
Benefits Data Team Lead,Stantec,"Calgary, Alberta, Canada",Mid senior,Onsite,"Team Lead, Benefits Data, Data Analysis, Data Quality, Reporting, Oracle, Payroll, Project Management, Problem Solving, Communication, Leadership, Management, Time Management, Detail Oriented, Computer Science, Information Systems, ERISA, COBRA, ACA, HIPAA, FMLA, ADA, Benefits Laws, Regulations"
Data Warehouse (ETL) Architect,"r2 Technologies, Inc.","Dallas, TX",Mid senior,Onsite,"Data Warehousing, Enterprise Data Standards, Data Models, ETL Software, Database Management Systems, Data Mining Tools, Meta Data Management Tools, Data Collection, Master Data, Report Creation, Data Warehouse Improvement, SharePoint and Teams, Project Management, Budget Management, Stakeholder Management, Data Warehousing Design, Data Warehouse Implementation, Data Marts, Data Stores, ETL (Extract Transform Load), Data Visualization, Data Availability, SQL Server, Azure, PowerBI, Data Architecting, Data Mining, Data Modeling, Business Requirements Gathering, Business Requirements Analysis, MS Windows Operating System, Power BI, Office 365, College Diploma, University Degree, Computer Science, Information Systems, Computer Engineering, TOGAF"
"Medical Technologist, MLS or MLT",Community Health Systems,"Mooresville, NC",Mid senior,Onsite,"Medical Technology, MLS, Microbiology, Clinical Pathology, Laboratory Equipment Operation, Centrifuges, Dry Bath Incubators, Blood Bank Refrigerators, Experience and Judgment, Creativity, Latitude, Reporting, Graduation from Accredited MT/MLS Program, National Exam Passing, Board of Registry, American Society for Clinical Pathology, Microbiology Experience"
Data Security Analyst,"The Timberline Group, LLC","St Louis, MO",Mid senior,Onsite,"Data Security, Risk Assessment, Vulnerability Assessment, Security Architecture, Information Security, Incident Response, Education and Training, Web Application Security, Cloud Security, Compliance, Security Incident Management, Security Information and Event Management (SIEM), Threat Intelligence, Security Operations Center (SOC), Security Awareness Training, Security Policy Development, Access Control, Data Encryption"
Machine Line Lead (Braider Machine) - 1st Shift,VitalPath,"Maplewood, MN",Mid senior,Onsite,"Manufacturing, Medical devices, Quality control, ISO 13485, cGMP, Blueprints, Specifications, Math skills, Metric conversions, Excel, Word, English, Teamwork, Safety, Documentation, Leadership, Troubleshooting, Root cause investigation, Continuous improvement, Lifting and moving heavy objects, Microscope, Extended periods of sitting"
Sr Machine Learning Engineer - Recommendations (Max),Warner Bros. Discovery,"San Francisco, CA",Mid senior,Onsite,"Machine Learning, Python, Java, Go, Cloud Computing, AWS, GCP, Azure, SQL, NoSQL, Relational Databases, CI/CD, GitHub Actions, Jenkins, Statistics, Computer Science, Data Science, A/B Testing, Hypothesis Testing, Recommendation Systems, Ranking Systems, Retrieval Systems, Targeting Systems, Prototyping, Development, Experimentation, Productionalization, Rapid Feature Iteration, Common Platforms, Tools, Version Control, Code Integration, OpenSource, Strategic Planning, Mentoring, Leadership, Communication, Presentation, Problem Solving, Teamwork, Collaboration, Innovation, DataDriven, CustomerCentric"
Medical Lab Scientist(MT or MLT),Gables Search Group,"Columbus, OH",Mid senior,Onsite,"Lab Testing, Clinical Diagnostics, ASCP Certification, Laboratory Quality Control, Laboratory Instrument Maintenance, Shift Work, Weekend Rotation, SignOn Bonus, Medical Laboratory Science, Laboratory Analysis, Laboratory Procedures, Shift Differential Pay, Healthcare Team Collaboration"
Data Engineer,Robert Half,"Charlotte, NC",Mid senior,Onsite,"Python, SQL, Data pipelines, Data engineering, AWS, Redshift, S3, Glue, Lambda, DevOps, PostgreSQL, MySQL, Data modeling, ETL, Data warehousing"
Principal Data Analyst on W2 only,Compunnel Inc.,"Durham, NC",Mid senior,Onsite,"PL/SQL, Informatica Catalog, SAP PowerDesigner, Data Querying, Swagger, Cryptocurrencies, Leading, Data Analysis, Data Modeling, Design, Requirements Gathering, Reporting, Data Stewardship, Database Management Systems, Data API Design and Implementation, Advanced Analytical Skills, Problem Solving, Communication Skills, Teamwork, Agile Development, Data Governance, Data Architecture, Business Criticality, Financial Services, Cryptocurrency"
Commissioning Senior Specialist - Data Center (Travel Required),Olsson,"Dallas, TX",Mid senior,Onsite,"Commissioning, Pre functional testing, Functional testing, Data centers, Construction, Strong communication skills, Teamwork, Leadership, Problemsolving, Investigation, Troubleshooting"
Senior Business Systems Analyst - Data Analytics,Brooks Running,"Seattle, WA",Mid senior,Onsite,"Data Analysis, Cloudnative Technologies, Multicloud Environment, Scrum Framework, User Stories, Acceptance Criteria, Stakeholder Management, Requirements Gathering, Project and Work Effort Benefits, Solution Performance Measures, Agile Ceremonies, Test Case Creation and Execution, User Acceptance Testing, Businessfocused Documentation, Continuous Improvement, Automation, Innovation, Agile Development, Waterfall Development, Hybrid Development, JIRA, Confluence, Global Collaboration, Communication Skills, Interpersonal Skills, Presentation and Facilitation Skills, Keen Attention to Detail, Decisionmaking, Innovation, Initiative, Brooks Values, Medical Insurance, Dental Insurance, Vision Insurance, Life and AD&D Insurance, Disability Insurance, HSA and Employer Contribution, FSA, Family & Fertility Assistance, 401K Savings Plan and Match, Employee Assistance Program, Transportation Assistance, Paid Time Off, Paid Holidays, Paid Sick and Parental Leave, Annual Bonus, Product Discounts, Home Office Stipend, Employee Recognition, Fitness Discounts, Volunteer and Donation Benefits"
Data Management Manager with Security Clearance,ClearanceJobs,"Monterey, CA",Mid senior,Onsite,"Data Management, Agile Development, Project Management, Data Governance, Project Roadmap, Data Analytics, Data Research, Project Milestones, Microsoft Project, Remote Team Management, Security Clearance, Upskilling Programs, Tuition Reimbursement, Mentoring, Networking, Wellness Programs, Paid Holidays, Paid Parental Leave, 401(k) Match, Flexible Schedules, Hybrid Work Options, Life Insurance, Disability Insurance, Financial Benefits, Retirement Benefits, Paid Leave, Professional Development, Tuition Assistance, WorkLife Programs, Dependent Care, EEO Commitment"
Senior Finance Data Accountant,Jobs via eFinancialCareers,"Leeds, England, United Kingdom",Mid senior,Onsite,"Data Reconciliation, Accounting Software, Financial Analysis, Data Analysis, Data Architecture, Finance Function, Accounting Practices, Communication Skills, Negotiation Skills, Project Management, Data Summarization, Data Representation, Data Interrogation, System Analysis, System Impact Analysis, Data Compilation, Presentation Skills, Time Management, Technology Knowledge, Problem Solving"
Manager - Platform Architect Collaboration & Data Analytic,Ahold Delhaize,"Salisbury, NC",Mid senior,Onsite,"Enterprise Architecture, Product Cluster Architecture, Tech Leads, Technology roadmaps, Business requirements, Platform technology roadmap, Portfolio and Investment plans, Strategic roadmap, Global architecture, Emerging trends and technologies, Platform architecture, Product architecture, License efficiency, Vendor strategy guidelines, Scalable products, Applicationusage best practices, Interplatform technical direction, Security and compliance, Portfolio financial management, Total Cost of Ownership (TCO), Emerging technologies, Initiative proposal, Cost efficiency, Design and planning, Executive Business Management, Program Architecture Delivery, Financial management, Architecture initiatives, Business and architecture domains, Functional coach of Architects, Platform risk and Governance framework, Masters degree, Management experience, Fluency in English (word and writing)"
Data Center Energy Marshal 4,Apex Systems,"West Des Moines, IA",Mid senior,Onsite,"Safety management, Energy isolation, Construction standards, Communication, Teamwork, Problemsolving, Data center operations, Risk assessment, Inspections, Reporting, Microsoft SPS101 Energy Isolation SPS and Guidebook"
"Manager Engineering, Data Infrastructure",ACV Auctions,"Florida, United States",Mid senior,Onsite,"Software Development, Engineering Leadership, Team Management, Communication Skills, Prior Experience with Data Engineering, Prior Experience with Data Infrastructure, Prior Experience with Data Warehousing, Prior Experience with Apache Kafka, Prior Experience with Streaming Data Platform, Prior Experience with Kubernetes, Prior Experience with Helm, Prior Experience with Docker, Prior Experience with Terraform, DomainDriven Design, Product Lifecycle Management, Software Experimentation, AWS or Google Cloud, Modern Languages, SOX Controls, Permission Management, MultiFaceted Data Sets, CloudNative Environment"
Data Scientist / Machine Learning Engineer (Credit Analysis) (Mexico),Grupago,"Mexico City, Mexico",Associate,Onsite,"Data Science, Machine Learning, Artificial Intelligence, Credit Underwriting, Risk Management, Business English, Spanish, Data Analysis, Software Development, Financial Services, Business Acumen, Tech Startups"
"Sr. Technical Product Manager, Technical Data Platforms (R38389)",BLUE ORIGIN,"Seattle, WA",Mid senior,Onsite,"Senior Technical Product Manager, New Glenn Engineering Data Systems, Data Platforms, Engineering Data Analysis, Spacecraft Lifecycle Optimization, Complex Use Case Translation, Rapid Development, Prioritization, Trust Building, Cultural Leadership, Bachelor's in Engineering Physics IT Computer Science, 10+ Years Product and Project Management Experience, 3+ Years Technical Field Experience, Modern Web Services Architectures, Strong Communication Skills, Leading Teams with Changing Criteria, Adapting to Dynamic Priorities, Inclusivity, Advanced Degree, Startup Experience, Software Development Engineer Experience, User Research, UX/UI Design, UserFacing Data Platform Experience, Launch System Operations Experience, Data Analytics Skills, U.S. Citizenship or Permanent Residency, Medical Dental Vision Life Insurance, Paid Parental Leave, 401(k) with Company Match, Education Support Program, Paid Time Off, Discretionary Bonus, Equal Employment Opportunity"
Data Science Engineer Internship Summer 2024,CCC Intelligent Solutions,"Chicago, IL",Associate,Onsite,"Computer Vision, Deep Learning, Machine Learning, Data Exploration, Data Visualization, Storytelling, ETL, Python, Mathematics, Statistics, Modeling, Image Processing, Natural Language Processing, Artificial Intelligence, Data Analytics, Masters Degree, PhD Degree, Strong Collaborative Skills, Team Player, Strong Interest in Computer Science, Knowledge of Machine Learning, Knowledge of Deep Learning, Knowledge of Mathematics, Knowledge of Statistics, Knowledge of Modeling, Knowledge of Python, Knowledge of SQL, Knowledge of Azure, Knowledge of AWS"
Chapter Lead - Data Hub,FM Global,"Johnston, RI",Mid senior,Onsite,"Risk Management, Agile Methodologies, Data Product Development, Data Architecture, Technical Training, Strong Communication Skills, Coaching and Mentoring, Conflict Resolution, Organization Skills, TrustBuilding, Technical Standards, Work Methods, Mediation Skills, Hackathons, Tuition Reimbursement, Flexible Work, Time Off Allowances, Bachelor's Degree in Computer Science MIS or Software Engineering, Data Product Development  Experience, Data Architecture Experience, Technical Leadership Experience, Agile Methodologies Experience, Java, Python, C++, Data Warehousing, Business Intelligence, Data Integration, Data Analytics, Cloud Computing, Big Data, Hadoop, Spark, Machine Learning"
Senior Data Analyst,Dice,"Dallas, TX",Mid senior,Onsite,"Senior Data Analyst, Data Analytics, Data Visualization, Business Intelligence (BI), Dashboarding, Cognos, PowerBI, ServiceNow, SQL, DAX, Data Quality, Data Migration, Data Validation, MS Excel, SharePoint, VBA, MS PowerPoint, MS Access, Relational Databases, Analytic Reporting, Metrics, KPIs, ServiceNow Reports, ITIL, Oracle, Knowledge of information technology systems, Working knowledge of ITIL practices"
Senior Revenue Cycle Data Analyst - Patient Accounting (On Site),Springfield Clinic,"Springfield, IL",Mid senior,Onsite,"Microsoft Office, Excel, Access, Data Analysis, Reporting, Financial Analysis, Budgeting, Forecasting, Performance Analysis, Project Management, Communication Skills, Public Speaking, Confidentiality, HIPAA2, Bachelor's Degree in Accounting or Finance, CPA or Advanced Degree, Healthcare Financial Experience"
Senior Technical Data Analyst,HexaQuEST Global,"Boston, MA",Mid senior,Onsite,"Informatica, Data Analysis, Data Transformation, ETL, Data Warehousing, Data Architecture, DataCentric Technologies, Cloud Computing, Oracle Suite, PowerBI, Tableau, Risk Management, Disaster Recovery, Business Continuity, IT Security Architecture, IT Regulatory Compliance, AWS, Business Strategy, Project Portfolio, Medicaid, EDI, EOHHS, EOTSS, RFP, SOW, SaaS, Bachelor's Degree, Information Systems, IT, Healthcare Setting"
Datacenter Operations Engineer,ArrowCore Group,"Palo Alto, CA",Associate,Onsite,"Data Center Operations, Network Engineering, Hardware Installation and Configuration, Layer 1 Network Provisioning, Intermediate Level Remote Hands, Asset Inventory Management, Monitoring and Alerting, Troubleshooting, Documentation and Diagram Creation, Python, Bash, SNMP, rPDUs, UPS Systems, Client Systems, Networking Concepts, Topology and Protocols, Windows System Administration, Linux System Administration, Setup Diagrams, System HandOver Documentation, Inventory and Spares Management, Hardware Troubleshooting, Parts Replacement, Complex Task Completion, OffHour and Weekend Maintenance"
Senior data engineer,bp,Greater Houston,Associate,Onsite,"Data Engineering, Software Engineering, Data Infrastructure, Data Science, Analytics, Geospatial Analysis, Remote Sensing, Knowledge Management, Digital Twin, Crossdisciplinary Collaboration, Data Management, Data Integration, Data Quality Assurance, Software Development, Unit Testing, Monitoring, Alerting, Code Review, Documentation, Secure Software Development, Privacy Compliance, Continuous Integration / Continuous Deployment, Site Reliability Engineering, Infrastructure as Code, Containerization, Developer Velocity, Objectoriented Programming, SQL, NoSQL, Distributed Systems, Data Lifecycle Management, Stakeholder Management, Continuous Learning, Data Structures, Algorithms, Data Visualization, Data Interpretation, Digital Security, Extract Transform Load, Problem Solving, Business Acumen, Commercial Acumen, Communication, Data Analysis, Data Cleansing, Data Transformation, Data Domain Knowledge, Data Strategy, Data Governance, Data Visualization"
Senior Data Engineer,Better Placed Recruitment,"Leeds, England, United Kingdom",Mid senior,Onsite,"Data engineering, Data pipelines, Data models, SQL, Python, Scala, AWS, Google Cloud, Azure, Hadoop, Spark, Kafka, ETL, Data warehousing, Big data"
Machine Learning and AI Scientist,Analog Devices,"Wilmington, MA",Mid senior,Onsite,"Machine Learning, AI, Data Science, Computer Science, PhD, Optimization, Deep Neural Networks, Data Analysis, Time Series Analysis, Interdisciplinary Collaboration, Programming Languages: Python C++ MATLAB, Signal Processing, Software Development, Research, Prototyping, RealWorld Applications, Leadership, ProblemSolving, Data Management, Algorithms, Technical Writing, Hardware Systems, Mathematical Modeling"
"Senior Data Engineer, Public Company",Recruiting from Scratch,"Cypress, CA",Mid senior,Onsite,"Data Engineering, Business Intelligence, Data Science, Python, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, SQL, TDD, Pair Programming, Continuous Integration, Automated Testing, Kafka, Storm, SparkStreaming, Dimensional Data Modeling, Schema Design, ETL, Data Warehouses, Data Governance, Data Classification, Data Retention, Legal Compliance"
Data Science Practitioner,The Hill,"Washington, United States",Mid senior,Onsite,"Data Science, Data Analytics, Python, Software engineering, Programming, PowerBi, Tableau, Gitlab, GitHub, Object oriented programming, Machine Learning, Statistical analyses, Data mining, Data visualization, Data modeling, Data interpretation, Data acquisition, Data evaluation, Data distillation, Data analysis, Big data, Artificial intelligence, Data driven insights, Value chain, Operationalize, Statistical analysis, Machine learning, Data analysis, Data processing, Data management, Data storage, Data security, Data governance, Data ethics"
Data Steward - Research Analysis Spec Sr,State of Minnesota,"Plymouth, MN",Mid senior,Onsite,"Data Stewardship, Environmental Science, GIS, Statistics, Environmental Health, Toxicology, Data Analysis, Spatial Analysis, Database Administration, Python, R, Tableau, MS Access, SQL Developer, Program Evaluation, Communication, Project Management, Data Processing, Data Evaluation, Data Visualization, Data Collection, Data Management, Data Standards, Data Procedures, Data Plans, Qualitative Analysis, Quantitative Analysis, Statistical Modeling, Scientific Literature, Listening, Writing, Presentations, Travel"
Junior Data Engineer,Energy Jobline,"Stafford, TX",Mid senior,Onsite,"Python, R, AWS, Git, gSuite, FAIR, DAMADMBOK, Data Ethics & Quality Principles, APIs, Big Data, Computer Science, Data Science, Master's degree, Healthcare data standards, Common Data Models (CDM), PII data privacy, Data governance, GDPR, Tableau, Power BI, SQL, NoSQL, Hadoop, Spark, Kafka, Data pipelines, ETL processes, Data Curation, QC, Data visualization, Cloud transfers, Data infrastructure, Data governance policies, Data privacy policies, GDPR, GCDMP, Data harmonization, Data curation scripts, Data anonymization scripts, Adaptability, Attention to Detail, SelfMotivation, Curiosity, Problem Solver, Communication Skills, Team Player, English (written and spoken)"
Associate Data Engineer,48forty Solutions,"Houston, TX",Mid senior,Onsite,"data engineering, data integration, ETL, Azure Data Factory, Azure Synapse Analytics, Azure DevOps, Git, Power BI, Azure Databricks, SQL Server, SQL programming, Spark SQL, data visualization, Azure Analysis Services, problemsolving, teamwork, communication"
Data Management Specialist,City of Roseville,"Roseville, CA",Associate,Onsite,"Data Management, Advanced Metering Infrastructure (AMI), Relational Database Management Systems (RDBMS), Oracle, SQL Server, SQL, PL/SQL, JAVA, Databases, Programming, Report Writing, Electronic Data Processing, LAN, SAN, Computer Systems, Oracle, Microsoft Word, Excel, Access, WHIMS, Local Area Networks (LAN), Storage Area Networks (SAN), Computer Systems, Oracle, Microsoft Word, Excel, Access, WHIMS, Web Development Software, Business Processes, Communication, Teamwork, Problem Solving, Critical Thinking, Analytical Skills, Attention to Detail, One year experience in computer systems operations and programming related to the implementation or maintenance of large Relational Database Management Systems (RDBMS) such as Oracle servers and automated data systems and information management, Experience in a 24 hour industrial process environment such as water or wastewater treatment is desirable, Bachelor’s degree from an accredited college or university preferably with major course work in computer science information systems or a related field, Two years of professional experience performing duties similar to that of a Data Management Specialist I with the City of Roseville, Bachelor’s degree from an accredited college or university preferably with major course work in computer science information systems or a related field"
Sr. Salesforce Data Cloud Solutions Architect,GoodRx,"Seattle, WA",Mid senior,Onsite,"Salesforce Data Cloud, Salesforce Marketing Cloud, Apex, Visualforce & Lightning, Web based technologies (SOAP REST), Jitterbit, MuleSoft, Software development, Integration, Analysis, Documentation, Problem solving, Communication, User Acceptance Testing, Project planning, Agile development, Legacy debt, API, Data infrastructure, Customer data platforms, Security, Compliance"
Senior Data Scientist - Language Modeling and AI,Jobs for Humanity,"Jefferson City, MO",Mid senior,Onsite,"Natural Language Processing, Language and Learning Modules, Machine Learning, Deep Learning, Python, R, Scala, TensorFlow, PyTorch, Data Analytics, Data Science, Statistics, Applied Mathematics, Computer Science, Programming, Collaboration, Communication, Mentorship, Industry Trends, Data Interpretation, AI Evaluation, Product Development, Dataset Quality, Personalized Interaction"
Data Analyst,The Digital Recruitment Company,"London, England, United Kingdom",Mid senior,Onsite,"Data Analytics, Social Listening, Digital Intelligence, Measurement, KPI Frameworks, Data Organization, Data Analysis, Crisp Insights, Recommendation Generation, Research Report Development, Presentation, Critical Thinking, Data Source Identification, Mixed Methodologies, Ad hoc Project Ownership, Ongoing Client Project Ownership, Resource Management, Professional Presentation, Data Interpretation, Qualitative Research, Primary Survey Data, Secondary Data Sources, Measurement Program Management, Analysis, Recommendation Presentation, Written Presentation, Verbal Presentation, Compelling Story Creation, Database Creation, Dashboard Creation, DataInformed Decision Making, Pivot Table Usage, Descriptive Statistics, Standard KPIs, Industry Standards for Communications, Talkwalker, Crimson Hexagon, Brandwatch, Similarweb, Comscore, Factiva, Facebook Analytics, Hootsuite, LinkedIn, Google Analytics, Audiense, Microsoft Excel"
Job Title:Sr. Data Scientist,Dice,"Irving, TX",Mid senior,Onsite,"Python, Machine learning, GBM, XGBoost, Deep learning, Data clean up, Exploratory data analysis, Scaling, Normalization, Feature engineering, Google Cloud Platform, NumPy, Pandas, Pytorch, Tensorflow, Neural NLP, Test cases, Performance testing, Load testing, Monitoring, Model documentation, AWS, API wrappers"
Data Reporting Analyst,Mission Staffing,New York City Metropolitan Area,Mid senior,Onsite,"Salesforce, Microsoft Excel, Data Reporting, Client Data Management, Reconciliation, Investor Relations, Advanced Salesforce, Data Centralization, Performance Reporting, Client Data Gathering, New Client Onboarding, Verification, Strong Communication"
"Principal Associate, Data Loss Prevention (DLP) Engineer",Jobs for Humanity,"Concord, NH",Mid senior,Onsite,"Cybersecurity, Data Protection, Data Loss Prevention, IaaS, SaaS, Web Proxy, Email Security, Endpoint Security, Cloud Computing, Software Engineering, Agile Frameworks, Symantec Data Loss Prevention, Incident Response, Risk Management, JIRA, SysAdmin, Microsoft Office, AWS Cloud Practitioner, AWS Solution Architect, AWS Developer, AWS Security, CISSP, GIAC, CISM, CCSP, CISA, Security+, Programming, Networking"
"Principle Engineer, Data Analytics Engineering - Java/Spring",Western Digital,"San Jose, CA",Mid senior,Onsite,"Java, Spring Framework, Microservices Architecture, Docker, Kubernetes, SQL, NoSQL, Agile Development Methodologies, ProblemSolving, Analytical Skills, Communication Skills, Collaboration Skills, Cloud Platforms (AWS Azure GCP), FrontEnd Technologies (React HTML CSS JavaScript), DevOps Practices, Fab, Manufacturing, Software Architecture"
