link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/paula-abduls-relaxation-rituals-gps-guide_us_5b9c4f87e4b03a1dcc7db710,Paula Abdul's Relaxation Rituals: How The Star Finds Her Center,WELLNESS,The stress and strains of our always-connected lives can sometimes take us off course. GPS For The Soul can help you find,,2012-09-20
https://www.huffingtonpost.com/entry/waking-to-the-light_b_6680860.html,Waking to the Light,RELIGION,"I'm nearly 40 years into this mindfulness discipline.  But every time I return to it, day after day, I'm a beginner.  Every time I do the practice, I start like Kai, with my head stuck in a jug.","Jim Burklo, ContributorAssociate Dean of Religious Life, University of Southern Calif...",2015-02-18
https://www.huffingtonpost.com/entry/donald-trump-ted-cruz-nasty_us_569bc5c8e4b0778f46f9a2f4,Donald Trump On Ted Cruz: 'He's A Nasty Guy. Nobody Likes Him.',POLITICS,"""You can't make deals with people like that.""",Zach Carter,2016-01-17
https://www.huffingtonpost.com/entry/older-women-bikini_b_11016378.html,Why I'm Reluctant To Wear A Bikini Now That I'm Older,FIFTY,I really think I've got enough to worry about as the number of birthday candles on my cake soon reaches 69. First it's adjusting to the sagging pouches of skin adorning each side of my mouth -- then it's the dark circles under my eyes.,"Iris Ruth Pastor, ContributorSlice-of-life columnist, motivational speaker and pod caster, ...",2016-07-23
https://www.huffingtonpost.com/entry/fearless-living_us_5b9ba1dde4b03a1dcc7929f1,7 Laws of Fearless Living,WELLNESS,"Your experience of any moment -- good or bad, calm or conflicted -- is a direct reflection of your understanding about it. This means that the only thing that frightens you about any event is what you've yet to understand about yourself.","Guy Finley, Contributor
Contributor",2012-05-04
https://www.huffingtonpost.com/entry/supreme-court-birth-control_us_55fb6a8be4b08820d918230a,"America, The Next Hobby Lobby Case Is Heading For The Supreme Court",POLITICS,The justices could again weigh women's health care against religious liberty.,Cristian Farias,2015-09-18
https://www.huffingtonpost.com/entry/amazon-founder-offers-to-send-donald-trump-to-space_us_56661ebce4b079b2818fdb14,Amazon Founder Offers To Send Donald Trump To Space,TECH,"In a tweet, Jeff Bezos indicated Blue Origin will not discriminate against any American, even a xenophobic demagogue.",Alexander Howard,2015-12-08
https://www.huffingtonpost.com/entry/charles-by-the-way-crush-stranger_n_5870100.html,This Totally Nails What It's Like To Crush On A Stranger,COMEDY,,Lily Karlin,2014-09-24
https://www.huffingtonpost.com/entry/gun-proponents-arent-interested-in-facts-or-science_us_584e1e22e4b04c8e2bb05ad0,Gun Proponents Aren't Interested In Facts Or Science,POLITICS,"When all is really said and done, there’s one basic point of disagreement between Gun-sense Nation on the one hand, and Gun","Mike Weisser, ContributorMike the Gun Guy",2016-12-12
https://www.huffingtonpost.com/entry/love_us_5b9b98c6e4b03a1dcc78e7f9,Does Love Have to Be Choosy?,WELLNESS,"Since love sits in us between trust and fear, a commitment to love requires daring to trust and freedom from fear, both risks we are willing to take when we love someone.","David Richo, Ph.D., MFT, Contributor
Psychotherapist, workshop leader, and author",2012-04-23
https://www.huffingtonpost.comhttp://www.shape.com/weight-loss/weight-loss-strategies/are-you-counting-calories-wrong,Are You Counting Calories Wrong?,WELLNESS,"Most diet plans make eating right seem like a numbers game: Consume X calories and add Y exercise, and you will reach Z ideal",,2014-02-21
https://www.huffingtonpost.com/entry/is-trump-toying-with-the-presidency_us_59241b3ee4b07617ae4cbf5e,Is Trump Toying With The Presidency?,MEDIA,By Maria Behan Your cell phone beeps with the latest news alert: U.S. President Donald J. Trump will be the guest of honor,"The Wild Word magazine, ContributorOnline arts/culture/politics magazine www.thewildword.com",2017-05-23
https://www.huffingtonpost.com/entry/buckley-and-vidal-best-of_b_7622308.html,Buckley and Vidal: Best of Enemies and the Dawn of Theatrical Journalism,ENTERTAINMENT,The realization that two such brilliant minds -- the brightest of their generation -- could allow personal hatred and the burning desire to win at all costs completely derail any semblance of useful debate is the real heartbreak of Best of Enemies.,"Jon Eig, ContributorLecturer in Screenwriting and Film History, Montgomery College",2015-06-22
https://www.huffingtonpost.com/entry/bernie-sanders-momentum_us_56f811fae4b0a372181a3565,Bernie Sanders Claims Momentum After Three State Victories,POLITICS,"""Momentum is with us. A lot of these super-delegates may rethink their position with Hillary Clinton.""",,2016-03-27
https://www.huffingtonpost.com/entry/devon-halls-tragic-story-is-the-story-for-far-too_us_59627df7e4b08f5c97d06ab6,De’von Hall’s Tragic Story Is The Story For Far Too Many Other Blacks,BLACK VOICES,"Former standout Utah State college football star, and for a short time NFL hopeful, De’Von Hall stands accused of the murder","Earl Ofari Hutchinson, ContributorEarl Ofari Hutchinson is an author and political analyst",2017-07-09
https://www.huffingtonpost.com/entry/chuck-schumer-snortable-chocolate_us_5964d68ae4b03f144e2dcdea,Chuck Schumer Has VERY Strong Feelings About Snortable Chocolate,TASTE,Who knew this would catch his attention?,Carly Ledbetter,2017-07-11
https://www.huffingtonpost.com/entry/cocktail-pairing-how-to_us_5b9ce5d1e4b03a1dcc82ca79,HuffPost Tastemakers: An Inside Look At Cocktail Pairing,FOOD & DRINK,And how much thought is put into them.,,2013-03-06
https://www.huffingtonpost.comhttp://www.houzz.com/ideabooks/12133357/list/Why-Marble-Might-Be-Wrong-for-Your-Bathroom,What To Know Before You Buy Marble,HOME & LIVING,"Marble has been used by master craftsmen throughout the ages to adorn palace floors, ceilings and walls. Although it was",,2013-06-07
https://www.huffingtonpost.comhttp://www.nytimes.com/2016/06/30/us/politics/donald-trump-institute-plagiarism.html,Plagiarized Lessons and Deceptive Tactics: A Look Inside the Trump Institute,POLITICS,"In 2005, as he was making a transition from developing real estate to capitalizing on his fame through ventures like a reality",,2016-06-29
https://www.huffingtonpost.comhttp://www.refinery29.com/vote-your-values/,What Millennial Women Really Value In The 2016 Election,WOMEN,"Young single women are suddenly among the most talked-about voters in America. And when you fold in young married women, as",,2016-04-13
https://www.huffingtonpost.com/entry/dara-torres-age-45-older-olympians-olympics_us_5b9bf197e4b03a1dcc7b46e9,Dara Torres And Other Olympians Over 30,WELLNESS,"Dr. Michael Joyner, an anesthesiologist at the U.S. Mayo Clinic who studies the effects of ageing on athletes, said normal",,2012-07-03
https://www.huffingtonpost.com/entry/roxy-surfers-sharks-suncreen_us_5b9b872ce4b03a1dcc7856dd,Sharks And Sunscreen: How You Can Live And Look Like A Surfing Roxy Girl (PHOTOS),STYLE & BEAUTY,"Kelia Moniz and Monyca Byrne-Wickey have the best lives ever. They live in Hawaii, surf professionally and are Roxy Surf",Christina Anderson,2012-04-03
https://www.huffingtonpost.com/entry/stormfront-conference-crossvilletennessee_us_59d2cbc0e4b065578154e963,"Heckled And Disrupted, White Supremacists Held A Not-So-Secret Meeting In Tennessee",POLITICS,Protesters crashed Stormfront's closed-door conference in the woods.,"Jessica Schulberg, Dana Liebelson, and Luke O'Brien",2017-10-03
https://www.huffingtonpost.comhttp://www.houzz.com/ideabooks/11640804/list/Get-the-Hang-of-Hanging-Flower-Baskets,Get The Hang Of Hanging Flower Baskets,HOME & LIVING,"The material, soil and even flower arrangement can make all the difference on your porch.",,2013-07-01
https://www.huffingtonpost.comhttp://www.grantland.com/story/_/id/9945306/behind-scenes-maury-povich-show-enters-16th-season,Behind The Scenes Of 'Maury',ENTERTAINMENT,"Listen to the familiar voice of Maury Povich: ""This is Tiffany. In two months, Tiffany is marrying her fiancé, Cornelius",,2013-11-10
https://www.huffingtonpost.com/entry/crouton-cone_us_5b9c7892e4b03a1dcc7ef4a3,The Crouton Cone: Your Salad Just Got More Portable,FOOD & DRINK,We're starting to think that there isn't a single food out there that isn't better in cone form.,"Nick Chipman, Contributor
Writer. Food lover. Eats WAY too much bacon.",2012-11-06
https://www.huffingtonpost.com/entry/yale-reverses-course-on-symbols-of-white-supremacy_us_5895448fe4b02bbb1816ba89,Yale Reverses Course On Symbols Of White Supremacy,COLLEGE,"Months after a dining hall worker broke a window glorifying slavery at Yale’s Calhoun’s college, the university appears to","Win Vitkowsky, ContributorContributing Writer",2017-02-04
https://www.huffingtonpost.com/entry/p-is-for-pussy-alphabet-book_us_566742aee4b080eddf55e30d,'P Is For P*ssy' Is The Alphabet Book Of Your Wet Dreams,ARTS & CULTURE,A is for a*s. B is for b*ow. C is for c*ck.,Priscilla Frank,2015-12-10
https://www.huffingtonpost.com/entry/pennsylvania-hospitals-ban-smokers-hiring_us_5b9d4ee4e4b03a1dcc867e26,Pennsylvania Hospitals' Ban On Hiring Smokers Stirs Debate,WELLNESS,"Both the highly rated University of Pennsylvania Health System, which includes the Hospital of the University of Pennsylvania","Reuters, Reuters",2013-06-28
https://www.huffingtonpost.com/entry/black-activist-elect-progressive-prosecutors_us_5a85b64ee4b0058d55670e4f,Black Activist Starts Group That Aims To Elect Progressive Prosecutors,POLITICS,Shaun King says district attorneys “are the gatekeepers of America’s justice system.”,Daniel Marans,2018-02-15
https://www.huffingtonpost.com/entry/dreaming-of-my-2014-trave_us_5b9dfae4e4b03a1dcc8fd691,"Dreaming of My 2014 Travels: Verona, Padua, and Ravenna",TRAVEL,I've been giddier than usual this week as I'm finalizing my travel plans for 2014. I've got an amazing itinerary promising,"Rick Steves, Contributor
Contributor",2014-04-11
https://www.huffingtonpost.com/entry/donald-trump-jemele-hill_us_59bbfb5ee4b02da0e1418377,Trump Goes After ESPN Host Who Called Him A 'White Supremacist',POLITICS,White House press secretary Sarah Huckabee Sanders has also attacked Jemele Hill.,Mollie Reilly,2017-09-15
https://www.huffingtonpost.com/entry/epa-fracking-final-report_us_58503b7de4b0e05aded63a07,New EPA Report Finds Fracking Can Affect Drinking Water,POLITICS,"However,  the agency says ""data gaps and uncertainties” have limited its ability to “fully assess the potential impacts on drinking water resources.""",Kate Sheppard,2016-12-13
https://www.huffingtonpost.com/entry/parenthood-coke-ad_us_5b9db89ee4b03a1dcc8bff3b,New Parenthood Is A Messy Challenge. This Ad Shows Why It Is Also A Time Of Sheer Delight.,PARENTING,"(hat tip: Fast Company) In one scenario, ages 0 - 4 are like one long practical joke. Babies come with too much stuff and",,2013-12-17
https://www.huffingtonpost.com/entry/trump-florida-shooting-visit_us_5a877aa3e4b00bc49f442321,"Trump Visits Shooting Victims, Local Police En Route To Mar-a-Lago For Long Weekend",POLITICS,The president praises first responders and medical staff but leaves some questions unanswered.,S.V. Date,2018-02-17
https://www.huffingtonpost.com/entry/ukraine-troops-russia_n_5648087.html,Confusion Reigns As More Than 300 Ukrainian Troops Cross Into Russia,WORLDPOST,,,2014-08-04
https://www.huffingtonpost.com/entry/hot-deals-on-winter-beach_us_5b9dbde6e4b03a1dcc8c4d41,Hot Deals on Winter Beach Escapes,TRAVEL,"Winter arrived with a big snowy bang across much of America, which has many folks already pining for an escape to warmer climes. If your family is ready to trade the snow for some sunshine and sand, here are five tremendous deals at kid-friendly beach resorts to get you packing.","MiniTime, Contributor
MiniTime is the first family travel site with personalized rec...",2013-12-27
https://www.huffingtonpost.com/entry/ann-romney-style-colored-jeans_us_5b9bdee6e4b03a1dcc7add36,"Ann Romney Dons Colored Jeans, Trendy Hairdo In Iowa (PHOTOS)",STYLE & BEAUTY,"Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr and Pinterest. Mrs. Obama recently said that",,2012-06-19
https://www.huffingtonpost.com/entry/what-are-some-tips-for-ge_us_5b9d3caee4b03a1dcc85cb08,What Are Some Tips for Getting the Best Outcome When Your Flight Is Canceled?,TRAVEL,"Pull out your cellphone as soon as it becomes clear that your flight is significantly delayed, even if it is not yet officially canceled.","Quora, Contributor
The best answer to any question",2013-06-07
https://www.huffingtonpost.com/entry/gender-equality-wont-just-change-womens-lives_us_560a8ea2e4b0dd850309180b,Gender Equality Won't Just Change Women's Lives -- It'll Change Everyone's,BUSINESS,"""We should think of this not as a women's problem, but as a care problem.""",Shane Ferro,2015-09-30
https://www.huffingtonpost.com/entry/10-mediterranean-islands_us_5b9d4f96e4b03a1dcc868987,10 Mediterranean Islands to Get Away From it All,TRAVEL,"The Mediterranean's charm is based largely upon its history, cuisine, sun-bleached villages, and relaxed lifestyle, and nowhere are these on better display than its many islands.","minube, Contributor
Community of over 2 million international travelers",2013-07-01
https://www.huffingtonpost.com/entry/why-harvard-banned-relationships_n_6631096.html,Why Harvard Officially Banned Professor-Student Relationships,COLLEGE,,Rahel Gebreyes,2015-02-06
https://www.huffingtonpost.com/entry/ben-jerrys_us_5b9df232e4b03a1dcc8f4abd,17 Reasons To Love Ben & Jerry's Even More,FOOD & DRINK,There's something about new Core flavors...,Alison Spiegel,2014-03-27
https://www.huffingtonpost.com/entry/mike-pence-hillary-clinton-emails_us_57a9fa8be4b06e52746db8be,Mike Pence Wonders If An Iranian Scientist Was Executed Because Of Hillary Clinton's Emails,POLITICS,Trump wondered the same thing.,Paige Lavender,2016-08-09
https://www.huffingtonpost.com/entry/orange-county-district-attorney-jailhouse-informant-60-minutes_us_591f35a2e4b03b485cb15efc,Southern California D.A. Admits Jailhouse Snitches Are 'Probably' Liars,POLITICS,But that hasn't stopped his Orange County prosecutors from using them to secure convictions for decades.,Matt Ferner,2017-05-20
https://www.huffingtonpost.com/entry/womens-capes-asos-fall-2012_us_5b9c4bf2e4b03a1dcc7da191,"Women's Capes For Superheroes, Supermodels And Everyone In Between (PHOTOS)",STYLE & BEAUTY,"On the day of the wedding, my friend and I stumbled upon a quaint vintage shop with a pair of Chanel sunglasses in the window",Christina Anderson,2012-09-18
https://www.huffingtonpost.com/entry/mother-of-slain-teen-to-trump-defend-all-lgbtq-people-not-just-my-child_us_59e651c2e4b00905bdad120a,"Mother Of Slain Teen To Trump: Defend All LGBTQ People, Not Just My Child",POLITICS,"""It shouldn't have taken for a child to lose his life.""",Dana Liebelson,2017-10-18
https://www.huffingtonpost.com/entry/while-were-young-tiff_n_5780022.html,The Guy From 'Million Dollar Listing' Made A Noah Baumbach Movie,ENTERTAINMENT,,Christopher Rosen,2014-09-07
https://www.huffingtonpost.com/entry/are-courthouses-obsolete_us_5bb2c9a1e4b0480ca65c0efb,Are Courthouses Obsolete?,BUSINESS,"Are courtrooms obsolete? No, but many venues are located outside of the traditional courthouse or are increasingly subject to video conferencing such as arraignments.","Brad Reid, Contributor
Senior Scholar, Dean Institute for Corporate Governance and In...",2012-07-14
https://www.huffingtonpost.com/entry/italy-novartis-flu-vaccine-ban_us_5b9c7299e4b03a1dcc7eb8cb,Italy Bans Novartis Flu Vaccines Pending Tests For Side Effects,WELLNESS,"""Given the current unclear situation Swissmedic has issued a halt to deliveries for the cited vaccines and recommends not","Reuters, Reuters",2012-10-24
https://www.huffpost.com/entry/bull-firefighters-california-wildfire_n_5f37a546c5b6959911e4fe3d,Bull Chases Firefighters Battling California Wildfire,U.S. NEWS,"The animal ""wasn't clowning around,"" said the Ventura County Fire Department, whose crews were tackling the Lake Fire north of Los Angeles.",Lee Moran,2020-08-15
https://www.huffingtonpost.com/entry/childbirth_us_5b9c723ce4b03a1dcc7eb415,10 Years Ago: A Lifetime and an Instant,PARENTING,"My daughter turns 10 this week. I'm swimming in a sea of memories of this week ten whole years ago, a week that commenced a season that changed everything for me.","Lindsey Mead, Contributor
Writer, A Design So Vast",2012-10-25
https://www.huffingtonpost.com/entry/exxon-climate-change-cover-up_us_562133a2e4b08d94253eff49,House Democrats Press DOJ To Investigate If Exxon Broke The Law With A Climate Change Cover-up,POLITICS,"Reports accuse ExxonMobil of hiding its research from decades ago, which tied fossil fuels to climate.",Laura Barrón-López,2015-10-16
https://www.huffingtonpost.com/entry/nba-draft-salaries_n_7674622.html,8 NBA Draft Picks Tell Us The First Thing They're Going To Buy,SPORTS,These guys just got a major pay raise.,Lucy McCalmont and Eva Hill,2015-06-26
https://www.huffingtonpost.com/entry/buttermilk-recipes_us_5b9b8053e4b03a1dcc781c5e,The Best Recipes For Your Leftover Buttermilk (PHOTOS),FOOD & DRINK,"While some people enjoy buttermilk as a beverage in other parts of the world, in the U.S. we most often use it for baked","Kitchen Daily, Kitchen Daily",2012-03-28
https://www.huffingtonpost.com/entry/new-york-pollsters-accurate_us_5717dec6e4b0479c59d6ddaf,Polling On New York's Primaries Knocked It Out Of The Park,POLITICS,"The state can be a hard place to poll, but it helped that it had closed primaries.",Natalie Jackson,2016-04-21
https://www.huffpost.com/entry/shadeed-abdulmateen-death-sentence-china_n_626283f9e4b00b4e017d1607,American Man Sentenced To Death In China For Killing Ex-Girlfriend,U.S. NEWS,Shadeed Abdulmateen fatally stabbed a 21-year-old woman who tried to break off their relationship.,,2022-04-22
https://www.huffingtonpost.com/entry/sixers-meditate-philadelphia-76ers_us_56142e5ee4b022a4ce5fde24,The Sixers Meditate And So Should You,HEALTHY LIVING,"Ball so hard, but not before a little zen session. 🙏🏀",Kate Bratskeir,2015-10-07
https://www.huffingtonpost.com/entry/senators-obama-iran-deal_us_55cb6670e4b0923c12beceb7,Here Are The Wobbly Democrats Who Could Make Or Break The Iran Deal,POLITICS,The White House still needs five senators to promise to protect the nuclear agreement.,Jessica Schulberg and Ryan Grim,2015-08-12
https://www.huffingtonpost.com/entry/texas-harvey-voting-rights_us_59e0cbcae4b04d1d51813ed2,Civil Rights Group Threatens Texas If It Doesn't Protect Voting Rights Of Hurricane Victims,POLITICS,They say there's no excuse for denying voting accommodations to people displaced by the storm.,Sam Levine,2017-10-13
https://www.huffingtonpost.com/entry/why-progress-is-the-sweet_b_5692825.html,Why Progress Is the Sweetest Thing,BUSINESS,"Many leaders are concerned about how to motivate their employees. They know that engaged workers produce better results, are more creative, and care more for their work. However, which factors that actually motivate and engage their teams have long been discussed.","Kristine Maudal & Even Fossen (Brainwells), ContributorFounders and Partners, Brainwells",2014-08-20
https://www.huffingtonpost.com/entry/tina-fey-tries-out-for-mean-girls-the-musical-on-snl_us_5b01ce83e4b07309e059bcf7,Tina Fey Tries Out For 'Mean Girls' The Musical On 'SNL',ENTERTAINMENT,This week's host did not fare well.,Andy McDonald,2018-05-20
https://www.huffingtonpost.com/entry/angelina-jolies-decision_us_5b9d2b98e4b03a1dcc851bff,Angelina Jolie's Decision,WELLNESS,"When I read about Angelina Jolie's announcement this week, I cringed. Nobody can second-guess Angelina Jolie's choice--it's","Maria Rodale, Contributor
CEO and Chairman of Rodale, Inc. and book author",2013-05-16
https://www.huffingtonpost.com/entry/2014-ryder-cup-leaderboar_n_5888060.html,LIVE: Ryder Cup Leaderboard,SPORTS,,,2014-09-26
https://www.huffingtonpost.com/entry/what-can-be-mended-and-what-cannot_us_5b9dccd7e4b03a1dcc8d0ee2,"What Can Be Mended, and What Cannot",PARENTING,"How did this little monkey become a symbol for how simple it was supposed to be? How much my dreams for my boy have had to be continuously ripped open, then sewn back up with a thread that is clearly not strong enough to hold.","Jamie Krug, Contributor
Writer, SAHM, CMO - Chief Medical Officer (of my family), Wife...",2014-01-28
https://www.huffingtonpost.com/entry/the-care-less-party_us_5bad029fe4b04234e855b553,The Care Less Party,COMEDY,"First there was Romney Care, and now we got Obama Care, but if the hard line conservatives get their way, this country is going to end up with We Don't Care. Less Care For You. Couldn't Care Less.","Will Durst, Contributor
comic, author, columnist, cheeseburger acolyte, former margari...",2012-07-14
https://www.huffpost.com/entry/secupp-failed-gop-question-insurrection_n_60b207c3e4b0ead27968caca,Conservative Pundit Hits GOP With A Scathing Question,POLITICS,"CNN commentator S.E. Cupp slammed the ""gibberish"" and ""nonsense"" coming from elected Republicans.",Lee Moran,2021-05-29
https://www.huffingtonpost.com/entry/flavors-of-thailand_us_5b9c4ed9e4b03a1dcc7db279,The Flavorful Culture Of Thailand,TRAVEL,"From tangy salads to rich, hearty soups and delectable curries, I enjoyed three cooking classes.","Tamar Lowell, Contributor
CEO of Access Trips, Exploring Culture Through Cuisine",2012-09-20
https://www.huffingtonpost.comhttp://www.elizabethstreet.com/content/soul-cycle?section=home,"SoulCycle Didn't Change My Life, But It Did Allow Me To Grieve",WELLNESS,"I don't like exercise; I never have. When the desire to work out strikes, a leisurely jog around the park suits me just fine",,2013-08-07
https://www.huffingtonpost.com/entry/khamenei-trump-iran-missile_us_5899d7c4e4b09bd304bd7ba6,Ali Khamenei Rejects Donald Trump's Threats Over Missiles,THE WORLDPOST,Iran's leader said Trump had tried but failed to frighten Iranians.,,2017-02-07
https://www.huffingtonpost.com/entry/squirrel-yogurt-cup-yoplait_us_57b1dd1fe4b0718404120302,Squirrel With Yogurt Cup Stuck On Its Head Finds EMS Heroes,WEIRD NEWS,The animal looks to be just the latest victim of Yoplait’s container.,Nina Golgowski,2016-08-15
https://www.huffingtonpost.com/entry/michael-slager-walter-scott-bail_us_568ae885e4b0b958f65c8d96,"Michael Slager, Ex-Cop Who Killed Walter Scott, Released On Bail",BLACK VOICES,Slager will stand trial in October for killing the unarmed black motorist in South Carolina.,Kim Bellware,2016-01-04
https://www.huffingtonpost.com/entry/why-jenners-interview-mak_b_7157038.html,Why Jenner's Interview Makes the Case for Supporting Transgender Youth Now,QUEER VOICES,"I found myself unexpectedly emotional as I watched Bruce Jenner bravely share such a personal story with the world. I tried to grasp why I felt differently than I had with any other transgender ""coming out"" story, and my reasons were many. But foremost on my mind, as always, were my camp kids.","Nicholas M. Teich, ContributorFounder of Camp Aranu'tiq of Harbor Camps & author, 'Transgend...",2015-04-28
https://www.huffingtonpost.com/entry/childhood-cancer_us_5b9c435ee4b03a1dcc7d708f,Donna's Cancer Story: Recovery,PARENTING,"Donna was making up for eleven months of slogging through the muck of cancer. She was 2 and wanted to play and play and play. Skinny and pale with sunken eyes, Donna came back to us. She had never been more beautiful.","Sheila Quirke, Contributor
Mary Tyler Mom",2012-09-11
https://www.huffingtonpost.com/entry/people-en-espanol-50-most-beautiful-2014_n_5273327.html,PHOTOS: The '50 Most Beautiful' Latino Stars,LATINO VOICES,,,2014-05-06
https://www.huffingtonpost.com/entry/ex-lessons-tweeters-share_us_5b9c569fe4b03a1dcc7de4c5,Ex Lessons: Tweeters Share Lessons Learned From Their Exes,DIVORCE,"Not all relationships are meant to last forever, but if we're lucky, we walk away with a better understanding of what we",,2012-09-25
https://www.huffingtonpost.com/entry/this-unreal-frisbee-play-is-the-ultimate-catch_us_570e50bee4b08a2d32b87d4f,This Unreal Frisbee Play Is The Ultimate Catch,SPORTS,That's the way the pros do it.,Ron Dicker,2016-04-13
https://www.huffingtonpost.com/entry/leftover-cranberry-sauce_us_5b9c8473e4b03a1dcc7f6222,Leftover Cranberry Sauce Recipe: Spiced Halloumi Salad,FOOD & DRINK,During Holiday Season there are usually loads of leftovers to contend with.,"John Gregory-Smith, Contributor
Eat Travel Live",2012-11-15
https://www.huffingtonpost.com/entry/teen-heroes_us_5b9b8f18e4b03a1dcc789920,Teens as Heroes: A Reminder that the Teenage Years Can Be Marvelous,PARENTING,"The next time you think to yourself --""those teenagers"" -- try to think of the teens in the above stories and feel pride in what teens are capable of.","Dr. Barbara Greenberg, Contributor
Clinical Psychologist",2012-04-12
https://www.huffingtonpost.com/entry/cj-mccollum_us_570bdc22e4b0142232498ce1,"C.J. McCollum Won't Stop Working, On And Off The Court",SPORTS,From unheralded recruit and small-school phenom to NBA star.,Jordan Schultz,2016-04-18
https://www.huffingtonpost.com/entry/supercut-dancing-90s-movies_us_5862177be4b0de3a08f603eb,Boogie Down To This Supercut Of People Dancing In '90s Movies,ENTERTAINMENT,You've got to praise this effort.,Lee Moran,2016-12-27
https://www.huffingtonpost.com/entry/north-carolina-sheriffs-deputies-disciplined-over-trump-rally_us_56ea0f6fe4b0860f99db9106,North Carolina Sheriff's Deputies Disciplined Over Trump Rally,POLITICS,(Reuters) - Five North Carolina Sheriff's deputies have been disciplined over their behavior at a rally for Republican U.S,,2016-03-17
https://www.huffingtonpost.com/entry/love-the-real-you-the-case-for-self-love_b_7018042.html,Love The Real You: The Case for Self Love,BLACK VOICES,"In a society where we are hit with images that range from young girls beating on each other to assaulting our elders, one must wonder and question where is the love? Where is the love for self and those around us?","Fatima Scipio, ContributorAuthor, Entrepreneur, Philanthropist",2015-04-07
https://www.huffingtonpost.com/entry/stephen-colbert-donald-trump-fire-and-fury_us_5a542f67e4b003133ecb7f3f,Trump Declared Himself Mentally Stable And Stephen Colbert Isn’t Having It,COMEDY,"The ""Late Show"" host has the CliffsNotes.",Ed Mazza,2018-01-09
https://www.huffingtonpost.com/entry/ne-yo-on-saturday-night-live-let-me-love-you-she-is_us_5bb40c66e4b066f8d253fb73,Ne-Yo On 'Saturday Night Live': Singer Performs 'Let Me Love You' And 'She Is' (VIDEO),ENTERTAINMENT,"Ne-Yo first performed his hit single, ""Let Me Love You."" The song is a single off Ne-Yo's fifth studio album, ""R.E.D.,"" or",,2012-12-09
https://www.huffingtonpost.comhttps://www.themarshallproject.org/2016/01/05/penny-beernsten-the-rape-victim-in-making-a-murderer-speaks-out?ref=hp-1-121#.DOAZbV0Ig,The Woman Violently Assaulted In 'Making A Murderer' Speaks Out,POLITICS,“My testimony sent an innocent person to prison…. I absolutely wanted the earth to swallow me.”,,2016-01-05
https://www.huffingtonpost.com/entry/childsupport-paying-your_us_5b9d6f2fe4b03a1dcc87f48e,Child-Support: Paying Your Fair-Share?,DIVORCE,The math is fair. The logic is sound. But the practical application still causes you grief. You are writing a check to someone and you have no ability to control how the money is spent or if it is even spent on your child -- the most common complaint I hear about the child support laws.,"Morghan Leia Richardson, Contributor
Relationship Deconstruction Artist #Divorcelawyer #NYC",2013-08-16
https://www.huffingtonpost.com/entry/joy-reid-blog-post-hacking_us_5ae0ae7ee4b02baed1b593b6,Joy Reid’s Hacking Claims Look Increasingly Unlikely,MEDIA,"Only a pretty bizarre course of events would have led to those allegedly ""fraudulent"" homophobic blog posts.",Hayley Miller,2018-04-26
https://www.huffpost.com/entry/matthew-whitaker-supreme-court-acting-attorney-general_n_5bef985ee4b07573881eb390,Acting Attorney General Matthew Whitaker Hit With Supreme Court Challenge,POLITICS,The motion argues that Deputy Attorney General Rod Rosenstein should by law take over for the ousted Jeff Sessions.,Mary Papenfuss,2018-11-17
https://www.huffingtonpost.com/entry/vice-dutch-film-prince_us_55d35d32e4b055a6dab1898b,"VICE's Dutch Indie Drama, 'Prince,' Stars The 'Justin Bieber Of The Netherlands'",ENTERTAINMENT,And a 15-year-old Dutch kickboxing champion.,E. Oliver Whitney,2015-08-20
https://www.huffingtonpost.com/entry/pope-francis-releasing-album-wake-up_us_56058e0be4b0768126fd65e1,Pope Francis Is Releasing A Pop-Rock Album In November,ENTERTAINMENT,This is not a joke.,Carly Ledbetter,2015-09-25
https://www.huffingtonpost.com/entry/prescription-drug-abuse_1_b_5143785.html,Oklahoma Tackles the Prescription Drug Abuse Epidemic,CRIME,"More than 6 million Americans abuse prescription drugs, and both the number of prescription drug sales and the number of prescription drug overdose deaths have quadrupled since 1999. Are doctors to blame?","Adam Banner, ContributorCriminal Defense Attorney",2014-04-23
https://www.huffingtonpost.com/entry/hissene-habre-chad-guilty-verdict_us_57508786e4b0ed593f13b8ed,This African Nation Just Made Legal History For Victims Of Injustice Everywhere,THE WORLDPOST,Finding dictator Hissène Habré guilty is a win for all oppressed peoples.,Charlotte Alfred,2016-06-03
https://www.huffingtonpost.com/entry/girls-education-advocacy-in-malalas-hometown_us_57dda872e4b08cb1409632a5,"In Malala’s Hometown, A Young Activist Advocates For Girls’ Education",THE WORLDPOST,"As a teenager, Neelam Ibrar Chattan began working to promote peace in Pakistan’s conflict-torn Swat Valley. Now 23, she’s","Sonia Narang and Ameera Butt, Women & Girls Hub",2016-09-19
https://www.huffingtonpost.com/entry/north-carolina-governor-undecided_us_582f9dc4e4b099512f82f5da,North Carolina Governor Race Undecided Amid Fraud Claims,POLITICS,"Republican Gov. Pat McCrory is trailing Democratic challenger Roy Cooper, but refuses to concede amid the claims of voter fraud","Colleen Jenkins, Reuters",2016-11-19
